ecoHydro,month,T1,T2,change,PerDif,p.value
Great Basin-Colorado Plateau,Mar,280338.356379149,219610.392697206,-60727.9636819428,-21.6623812974812,0.00000273053780256037
Middle Rockies,Mar,6133.09424016006,4749.81709924646,-1383.2771409136,-22.554310870617,0.000000462500531750836
Mojave-Sonoran Deserts,Mar,244.558838919767,293.692322005754,49.1334830859869,20.0906592879704,0.179180466874141
Northern Plains,Mar,11164.9220531832,9335.52260478668,-1829.39944839651,-16.3852415599708,0.0371033258558935
Northern Rockies,Mar,3605.52411112282,3085.88722251817,-519.636888604657,-14.4122427860518,0.0000825126357436603
Pacific NW,Mar,37967.0201844554,28828.3255603792,-9138.69462407621,-24.0700865637536,0.00000117243431070389
Southern Plains,Mar,7573.65311892538,4458.357159179,-3115.29595974638,-41.1333330273834,0.00000000171408524956708
Southern Rockies and Basins,Mar,18976.565488997,13822.6723655717,-5153.89312342527,-27.1592513746157,0.0000825126357436603
Great Basin-Colorado Plateau,Apr,283852.39293741,213384.173889422,-70468.2190479878,-24.8256561513386,0.0000678674913713591
Middle Rockies,Apr,17212.9022046445,19010.2794996221,1797.37729497761,10.4420351292801,0.275974818065063
Mojave-Sonoran Deserts,Apr,221.056739156436,250.554843000748,29.4981038443123,13.3441323512138,0.14627292860061
Northern Plains,Apr,14084.6001384846,13260.9653742313,-823.634764253298,-5.84776817343085,0.118083439115962
Northern Rockies,Apr,3699.07727970852,3239.31622051133,-459.761059197195,-12.4290741834251,0.000050607550903359
Pacific NW,Apr,35154.4229009578,30383.8435760248,-4770.57932493299,-13.5703531199285,0.0684712521892404
Southern Plains,Apr,6832.69697303983,4058.73957072029,-2773.95740231953,-40.5982793216924,0.000000114843711720995
Southern Rockies and Basins,Apr,28463.9559366448,20167.8001754842,-8296.15576116056,-29.1461797496672,0.109671260646537
Great Basin-Colorado Plateau,May,287997.351862983,221956.208022972,-66041.1438400106,-22.931163572445,0.000348770067985163
Middle Rockies,May,22068.2669457067,20891.6662081909,-1176.60073751579,-5.33164085974905,0.167665804387511
Mojave-Sonoran Deserts,May,158.159035607619,196.127647348085,37.9686117404661,24.0066029706095,0.0684712521892404
Northern Plains,May,14107.9285303136,14256.7365279173,148.807997603786,1.05478275768157,0.872978811309476
Northern Rockies,May,3311.87339380574,2979.35196726013,-332.521426545617,-10.0402819494108,0.00608087340459694
Pacific NW,May,34390.1001028903,30540.6075780457,-3849.49252484462,-11.1936066290226,0.0371033258558935
Southern Plains,May,7238.51923529922,4376.97734806862,-2861.5418872306,-39.5321445479631,0.00000356015506335083
Southern Rockies and Basins,May,33560.078693208,28635.7799059698,-4924.29878723819,-14.6730847452833,0.00041189639955622
Great Basin-Colorado Plateau,Jun,271964.905210477,202774.797778708,-69190.1074317698,-25.4408219980525,0.0000678674913713591
Middle Rockies,Jun,19329.0239731855,17739.7461702229,-1589.27780296253,-8.2222351483825,0.0406740893928539
Mojave-Sonoran Deserts,Jun,207.886707275176,155.384796416136,-52.5019108590408,-25.2550591363905,0.00283464791244857
Northern Plains,Jun,13835.3012829227,13546.2238640867,-289.077418836019,-2.08941903703127,0.275974818065063
Northern Rockies,Jun,3849.40289176091,3573.06197890934,-276.340912851571,-7.17879942998534,0.000294491844472372
Pacific NW,Jun,31382.9003728916,27256.354999851,-4126.54537304063,-13.1490248638877,0.136369979336102
Southern Plains,Jun,6747.39268966465,4127.36937638081,-2620.02331328384,-38.8301590523562,0.000029857650962209
Southern Rockies and Basins,Jun,48688.509507592,39009.9012844533,-9678.60822313862,-19.8786291078174,0.0000193023139953749
Great Basin-Colorado Plateau,Jul,233576.059448045,146722.759044027,-86853.3004040183,-37.1841620281026,0.00000000342817049913417
