siteName,Latitude,Longitude,ecoHydro,ownAg,t1,t2,change,p.value
Ash Meadows NWR,36.398904,-116.334241,Mojave-Sonoran Deserts,Private,12.6208887715393,12.3537455806841,-2.11667494810379,1
La Sauses,37.236399,-105.751664,Southern Rockies and Basins,Private,2689.95725494923,2182.0693587845,-18.8808909595227,0.0207018920270105
Pikes Stockade,37.361241,-105.820492,Southern Rockies and Basins,Private,3769.06645954691,2843.97309819578,-24.5443632071782,0.00475274016024863
Adams Lake,37.405982,-105.850267,Southern Rockies and Basins,Private,3910.09985835033,2905.15665730751,-25.7012157604283,0.00368549583314018
Alamosa NWR,37.433478,-105.784454,Southern Rockies and Basins,Private,3371.24826414075,2551.11476000495,-24.3272948141906,0.00608087340459694
Monte Vista NWR,37.482605,-106.060943,Southern Rockies and Basins,Private,2443.71257643318,1783.61391784295,-27.0121234778643,0.00000273053780256037
Blanca Wetlands,37.55643553,-105.6772562,Southern Rockies and Basins,Private,315.735917712545,191.76885554753,-39.2628951001636,0.000000114843711720995
San Luis Lake SWA,37.685832,-105.716788,Southern Rockies and Basins,Private,256.50044109599,106.828228461818,-58.3516394726824,0.0000000325676197417746
Cotton Lake,37.71716937,-105.7094763,Southern Rockies and Basins,Private,210.469810877624,83.5228791605169,-60.3159812743498,0.000000166266269208007
Russell Lakes SWA,37.940509,-106.13327,Southern Rockies and Basins,Private,1870.69673034262,1166.43072114657,-37.6472571835342,0.000000466231187882247
John Martin Reservoir,38.077624,-103.033243,Southern Plains,Private,306.828654015039,195.971789785589,-36.1298929480088,0.00000000171408524956708
Lake DeWeese,38.19969733,-105.4708599,Southern Rockies and Basins,Private,378.017538193951,186.323514464286,-50.7103518650268,0.0000000325676197417746
Neeskah Reservoir,38.28444,-102.644716,Southern Plains,Private,553.952381837675,212.264372892926,-61.681837671902,0.000000466231187882247
Mud Lake CO,38.329408,-102.731341,Southern Plains,Private,511.436875329386,178.263737043926,-65.1445279675782,0.000000639353798088522
Kirch WMA,38.367758,-115.115858,Great Basin-Colorado Plateau,Private,112.378558233502,70.9192037870198,-36.8925844023884,0.00000356015506335083
Brush Hollow Reservoir,38.46416154,-105.0514322,Southern Plains,Private,475.322525598315,374.855596372158,-21.1365807037431,0.000000238257849689825
Railroad Valley,38.5391,-115.7356,Great Basin-Colorado Plateau,Private,78.3581050051051,61.595794555,-21.3919293339381,0.00000273053780256037
Fruitgrowers Reservoir,38.828625,-107.951898,Great Basin-Colorado Plateau,Private,556.09221792484,503.974262426664,-9.37217853770064,0.00475274016024863
Cheney Reservoir,38.88643835,-108.3228171,Great Basin-Colorado Plateau,Private,274.498882445535,278.163862835849,1.33515311889906,0.606048247505957
Eleven Mile State Park,38.92835709,-105.5202629,Southern Rockies and Basins,Private,202.886930998321,184.275265961868,-9.17341740292116,0.0630014673169666
Alkali Lake WMA,38.929515,-119.370921,Great Basin-Colorado Plateau,Private,285.292979731681,179.712415933385,-37.0077679084831,0.000145186448808831
Mason Valley WMA,39.090337,-119.097122,Great Basin-Colorado Plateau,Private,266.061581696406,240.000106006691,-9.79527954526452,0.167665804387511
Washoe Lake,39.281239,-119.793005,Great Basin-Colorado Plateau,Private,117.044637875971,129.511451201686,10.6513323053081,0.217126918696677
Carson Lake,39.310493,-118.73423,Great Basin-Colorado Plateau,Private,36.6541340683671,31.657146760413,-13.6328068714807,0.510218928024626
Spring Valley,39.45577,-114.495398,Great Basin-Colorado Plateau,Private,78.7470425293799,96.7034378775899,22.8026282276069,0.179180466874141
