ecoHydro,wetType,T1,SD1,T2,SD2,Change,perDif,p.value
Great Basin-Colorado Plateau,riv,19315.7702610621,3942.5472210484,16942.7025957538,2287.10533626388,-2373.06766530827,-12.2856486344324,0.0942345911299465
Middle Rockies,riv,3397.1337632572,245.996641343931,3167.29925304088,145.723100252809,-229.834510216324,-6.76554196076039,0.0168271594682328
Northern Plains,riv,1898.8836031388,105.569407105452,1698.88273586252,109.791786349106,-200.000867276278,-10.5325501229082,0.0000122437109376577
Northern Rockies,riv,1248.92182076837,20.7644688551898,1178.76128176181,41.0776607304325,-70.1605390065654,-5.61768862068569,0.000000114843711720995
Pacific NW,riv,1414.08971290159,211.852025256675,1345.06645885887,128.337642006088,-69.0232540427189,-4.88110856142847,0.275974818065063
Southern Plains,riv,1984.21531733042,247.41717286028,1280.83779860892,72.6028873449457,-703.377518721498,-35.4486487720409,0.00000000171408524956708
Southern Rockies and Basins,riv,2585.15819653835,438.566989396871,2261.87093255066,293.7691141388,-323.287263987695,-12.5055118259529,0.0307354340185123
Great Basin-Colorado Plateau,wet,71940.700487964,24061.9451922145,45053.7645857546,4451.75423564013,-26886.9359022093,-37.3737477114331,0.0000999688799252515
Middle Rockies,wet,3898.16124979911,427.71646762523,3628.317792221,341.692969928284,-269.84345757811,-6.92232671473033,0.14627292860061
Mojave-Sonoran Deserts,wet,19.9323013262411,7.27871412677091,23.0977839804225,6.62504466551404,3.16548265418146,15.8811699781704,0.126977990314064
Northern Plains,wet,4345.56566470309,488.127219147484,4628.04134412535,1075.43431744774,282.475679422262,6.50032012441267,0.901044523270083
Northern Rockies,wet,2388.9837323437,138.11364952154,2029.70524976684,156.854238581652,-359.278482576858,-15.0389673111918,0.000000166266269208007
Pacific NW,wet,18019.0313631288,2213.04363959008,15233.5570828368,2877.66223984397,-2785.474280292,-15.458512858753,0.0077210027319862
Southern Plains,wet,4886.64847212523,1089.90718413494,2579.42872318158,868.153784770949,-2307.21974894365,-47.2147682016551,0.00000156838800335388
Southern Rockies and Basins,wet,4156.21232029024,441.29433133759,3483.17587773509,549.749105120251,-673.036442555149,-16.1935048233568,0.0010557890953856
Great Basin-Colorado Plateau,wetAg,20467.9482406369,7180.14333966754,15660.0610207998,3415.27669909292,-4807.8872198371,-23.4898347568203,0.0445226890079167
Middle Rockies,wetAg,1722.56043778699,392.216500212431,1123.10164932613,269.006310970592,-599.458788460856,-34.8004502664066,0.0000154079123083585
Northern Plains,wetAg,525.355819189517,87.2372898307325,446.832025712085,199.22117038351,-78.5237934774326,-14.9467828487317,0.0486639858201955
Northern Rockies,wetAg,10.0697724667177,5.09706460338916,5.4693900475657,5.25776566555384,-4.60038241915199,-45.6850682014617,0.00867601732737925
Pacific NW,wetAg,4124.81886319378,533.337012238703,3520.03414471387,858.741943810843,-604.784718479913,-14.662091561801,0.018679509690371
Southern Plains,wetAg,134.931567766215,9.67918723944243,102.318444672057,12.4685067299559,-32.6131230941572,-24.1701209243069,0.000000020569022994805
Southern Rockies and Basins,wetAg,16260.4311359282,2434.78021305871,13212.9822326899,1677.14240164672,-3047.44890323827,-18.741501241654,0.000247904721474388
Great Basin-Colorado Plateau,wetMan,146909.817860538,16766.4819809586,107340.361896692,9093.69279333735,-39569.455963846,-26.9345211505261,0.00000000171408524956708
Middle Rockies,wetMan,7511.2262474914,1025.86670401126,7913.43076396963,764.474238533525,402.204516478228,5.35471177708907,0.260359756840209
Mojave-Sonoran Deserts,wetMan,158.061327028002,30.3768956698456,161.189822158191,33.0171645760847,3.12849513018887,1.9792919552261,0.901044523270083
Northern Plains,wetMan,7052.74310890929,349.423490290586,6135.00546936677,524.146406163278,-917.737639542517,-13.0124920952132,0.00000967258306330706
Pacific NW,wetMan,5776.33878298384,494.450462457213,4775.24549270623,2049.41521407033,-1001.09329027761,-17.3309310254909,0.126977990314064
Southern Rockies and Basins,wetMan,9787.27101574413,1664.48716047218,7237.50675575248,520.287194246691,-2549.76425999164,-26.0518407622514,0.000000166266269208007
