Region,Hydroperiod,Ownership,Wetland Type,Wetland Area (ha)
Great Basin-Colorado Plateau,Seasonal,Private,riv,1098.61
Great Basin-Colorado Plateau,Semi-permanent,Private,riv,3552.42
Great Basin-Colorado Plateau,Temporary,Private,riv,1104.13
Great Basin-Colorado Plateau,Seasonal,Private,wet,7687.35
Great Basin-Colorado Plateau,Semi-permanent,Private,wet,10859.26
Great Basin-Colorado Plateau,Temporary,Private,wet,7720.22
Great Basin-Colorado Plateau,Seasonal,Private,wetAg,2847.13
Great Basin-Colorado Plateau,Semi-permanent,Private,wetAg,804.31
Great Basin-Colorado Plateau,Temporary,Private,wetAg,8730.28
Great Basin-Colorado Plateau,Seasonal,Private,wetMan,418
Great Basin-Colorado Plateau,Semi-permanent,Private,wetMan,559.51
Great Basin-Colorado Plateau,Temporary,Private,wetMan,391.93
Great Basin-Colorado Plateau,Seasonal,Public,riv,2826.64
Great Basin-Colorado Plateau,Semi-permanent,Public,riv,6064.17
Great Basin-Colorado Plateau,Temporary,Public,riv,1745.38
Great Basin-Colorado Plateau,Seasonal,Public,wet,5366.37
Great Basin-Colorado Plateau,Semi-permanent,Public,wet,5904.44
Great Basin-Colorado Plateau,Temporary,Public,wet,6448.99
Great Basin-Colorado Plateau,Seasonal,Public,wetAg,158.47
Great Basin-Colorado Plateau,Semi-permanent,Public,wetAg,81.6
Great Basin-Colorado Plateau,Temporary,Public,wetAg,494.09
Great Basin-Colorado Plateau,Seasonal,Public,wetMan,34688.58
Great Basin-Colorado Plateau,Semi-permanent,Public,wetMan,59592.03
Great Basin-Colorado Plateau,Temporary,Public,wetMan,11754.65
