Region,Hydroperiod,Ownership,Wetland Type,Wetland Area (ha)
Middle Rockies,Seasonal,Private,riv,435.96
Middle Rockies,Semi-permanent,Private,riv,873.22
Middle Rockies,Temporary,Private,riv,352.3
Middle Rockies,Seasonal,Private,wet,387.15
Middle Rockies,Semi-permanent,Private,wet,900.79
Middle Rockies,Temporary,Private,wet,517.01
Middle Rockies,Seasonal,Private,wetAg,236.67
Middle Rockies,Semi-permanent,Private,wetAg,81.45
Middle Rockies,Temporary,Private,wetAg,685.75
Middle Rockies,Seasonal,Private,wetMan,3.41
Middle Rockies,Semi-permanent,Private,wetMan,31.99
Middle Rockies,Temporary,Private,wetMan,11.63
Middle Rockies,Seasonal,Public,riv,168.67
Middle Rockies,Semi-permanent,Public,riv,1088.36
Middle Rockies,Temporary,Public,riv,96.35
Middle Rockies,Seasonal,Public,wet,298.93
Middle Rockies,Semi-permanent,Public,wet,842.39
Middle Rockies,Temporary,Public,wet,250.09
Middle Rockies,Seasonal,Public,wetAg,0.47
Middle Rockies,Semi-permanent,Public,wetAg,0
Middle Rockies,Temporary,Public,wetAg,12.07
Middle Rockies,Seasonal,Public,wetMan,2335.75
Middle Rockies,Semi-permanent,Public,wetMan,1945.12
Middle Rockies,Temporary,Public,wetMan,1618.57
