Region,Hydroperiod,Ownership,Wetland Type,Wetland Area (ha)
Southern Plains,Seasonal,Private,riv,162.35
Southern Plains,Semi-permanent,Private,riv,657.45
Southern Plains,Temporary,Private,riv,170.71
Southern Plains,Seasonal,Private,wet,121.45
Southern Plains,Semi-permanent,Private,wet,321.31
Southern Plains,Temporary,Private,wet,81.41
Southern Plains,Seasonal,Private,wetAg,20.1
Southern Plains,Semi-permanent,Private,wetAg,49.71
Southern Plains,Temporary,Private,wetAg,34.49
Southern Plains,Seasonal,Public,riv,91.72
Southern Plains,Semi-permanent,Public,riv,112.11
Southern Plains,Temporary,Public,riv,118.26
Southern Plains,Seasonal,Public,wet,374.39
Southern Plains,Semi-permanent,Public,wet,1414.11
Southern Plains,Temporary,Public,wet,204.37
