Region,Hydroperiod,Ownership,Wetland Type,Wetland Area (ha)
Southern Rockies and Basins,Seasonal,Private,riv,465.18
Southern Rockies and Basins,Semi-permanent,Private,riv,590.93
Southern Rockies and Basins,Temporary,Private,riv,758.97
Southern Rockies and Basins,Seasonal,Private,wet,501.2
Southern Rockies and Basins,Semi-permanent,Private,wet,1098.93
Southern Rockies and Basins,Temporary,Private,wet,493.19
Southern Rockies and Basins,Seasonal,Private,wetAg,2401.26
Southern Rockies and Basins,Semi-permanent,Private,wetAg,1066.66
Southern Rockies and Basins,Temporary,Private,wetAg,5823.54
Southern Rockies and Basins,Seasonal,Private,wetMan,0
Southern Rockies and Basins,Semi-permanent,Private,wetMan,0
Southern Rockies and Basins,Temporary,Private,wetMan,0.03
Southern Rockies and Basins,Seasonal,Public,riv,63.99
Southern Rockies and Basins,Semi-permanent,Public,riv,77.66
Southern Rockies and Basins,Temporary,Public,riv,124.57
Southern Rockies and Basins,Seasonal,Public,wet,339.57
Southern Rockies and Basins,Semi-permanent,Public,wet,682.15
Southern Rockies and Basins,Temporary,Public,wet,271.98
Southern Rockies and Basins,Seasonal,Public,wetAg,116.45
Southern Rockies and Basins,Semi-permanent,Public,wetAg,286.68
Southern Rockies and Basins,Temporary,Public,wetAg,141
Southern Rockies and Basins,Seasonal,Public,wetMan,1664.67
Southern Rockies and Basins,Semi-permanent,Public,wetMan,3220.62
Southern Rockies and Basins,Temporary,Public,wetMan,1171.84
