siteName,Latitude,Longitude,STUSPS
Lower Klamath NWR,41.987499219999997,-121.737299100000001,CA
Tule Lake NWR,41.928611109999999,-121.506944399999995,CA
Modoc NWR,41.457527779999999,-120.521944399999995,CA
Honey Lake,40.302222219999997,-120.388333299999999,CA
Fairchild Swamp,41.609332850000001,-120.851355299999994,CA
Adams Lake,37.405982000000002,-105.850267000000002,CO
Alamosa NWR,37.433478000000001,-105.784453999999997,CO
Blanca Wetlands,37.556435530000002,-105.677256200000002,CO
Brush Hollow Reservoir,38.464161539999999,-105.051432199999994,CO
Cheney Reservoir,38.886438349999999,-108.322817099999995,CO
Cherry Creek State Park,39.638378000000003,-104.854793000000001,CO
Cotton Lake,37.717169370000001,-105.709476300000006,CO
Eleven Mile State Park,38.928357089999999,-105.520262900000006,CO
Fruitgrowers Reservoir,38.828625000000002,-107.951898000000000,CO
Hebron Slough,40.545549999999999,-106.360451999999995,CO
Hinman Reservoir,40.148591000000003,-106.462619000000004,CO
John Martin Reservoir,38.077624000000000,-103.033242999999999,CO
Lake DeWeese,38.199697329999999,-105.470859899999994,CO
Lower Latham Reservoir,40.343330000000002,-104.636538999999999,CO
Monte Vista NWR,37.482605000000000,-106.060942999999995,CO
Mud Lake CO,38.329408000000001,-102.731341000000000,CO
Neeskah Reservoir,38.284439999999996,-102.644716000000003,CO
Russell Lakes SWA,37.940508999999999,-106.133269999999996,CO
San Luis Lake SWA,37.685831999999998,-105.716787999999994,CO
Walden Reservoir,40.733899999999998,-106.304599999999994,CO
Pikes Stockade,37.361241000000000,-105.820492000000002,CO
La Sauses,37.236398999999999,-105.751664000000005,CO
American Falls Reservoir,43.026870000000002,-112.643581200000000,ID
Bear Lake NWR,42.148829999999997,-111.295088199999995,ID
Blackfoot Reservoir,42.909930000000003,-111.620418299999997,ID
Camas NWR,43.938040000000001,-112.264384300000003,ID
Chester Hill Reservoir,42.695630000000001,-111.613801300000006,ID
Duck Valley,42.090020000000003,-116.134197000000000,ID
Fort Boise WMA,43.817287999999998,-117.001329999999996,ID
Grays Lake NWR,43.008890000000001,-111.426542999999995,ID
Hawkins Reservoir,42.513120000000001,-112.337430999999995,ID
Market Lake WMA,43.790109999999999,-112.161536900000002,ID
Mud Lake WMA,43.892280000000000,-112.454048000000000,ID
Oxford Slough WPA,42.250390000000003,-112.001983600000003,ID
Sterling WMA,42.976962999999998,-112.782962999999995,ID
Benton Lake NWR,47.670000999999999,-111.329999000000001,MT
Bowdoin NWR,48.373458999999997,-107.679345999999995,MT
Browns Lake,46.951106000000003,-113.016845000000004,MT
Canyon Ferry WMA,46.358170000000001,-111.520880000000005,MT
Cottonwood Reservoir,46.038400000000003,-110.690730000000002,MT
Dailey Lake,45.262960000000000,-110.816260000000000,MT
Freezeout Lake,47.662570000000002,-112.046009999999995,MT
Grass Lake NWR,45.897399999999998,-109.099999999999994,MT
Medicine Lake NWR,48.378480000000003,-104.577669999999998,MT
Kicking Horse Reservoir,47.455083000000002,-114.069563000000002,MT
Kleinschmidt Lake,46.974600000000002,-113.042739999999995,MT
Lake Helena WMA,46.702390000000001,-111.963220000000007,MT
Lee Metcalf NWR,46.542340000000003,-114.081670000000003,MT
Manning Lake,48.272489999999998,-104.749240000000000,MT
Medicine Lake NWR,48.387850000000000,-104.577667000000005,MT
Nelson Reservoir,48.485379999999999,-107.575850000000003,MT
Ninepipe NWR,47.436791999999997,-114.127469000000005,MT
Pablo NWR,47.644665000000003,-114.170265000000001,MT
Spidel WPA,46.137169999999998,-108.855959999999996,MT
Warm Springs WMA,46.185969999999998,-112.803960000000004,MT
Upper Carter Pond FAS,47.153244000000001,-109.425143000000006,MT
Warm Springs WMA,46.197499999999998,-112.775400000000005,MT
Wild Horse Reservoir,48.123809999999999,-108.170019999999994,MT
Willow Creek Reservoir,45.684041999999998,-111.710739000000004,MT
Homestead Lake,48.378478000000001,-104.577667000000005,MT
Manning Lake,48.272494999999999,-104.749238000000005,MT
Red Rock Lakes NWR,44.637490000000000,-111.840604999999996,MT
Alkali Lake WMA,38.929515000000002,-119.370920999999996,NV
Ash Meadows NWR,36.398904000000002,-116.334241000000006,NV
Canvasback Club,39.581536000000000,-118.522129000000007,NV
Carson Lake,39.310493000000001,-118.734229999999997,NV
Franklin Lake,40.348441000000001,-115.415327000000005,NV
Harmon Reservoir,39.466110000000000,-118.643904000000006,NV
Humboldt River,41.016030000000001,-117.705233000000007,NV
Humboldt River,41.029175000000002,-117.648049000000000,NV
Humboldt River,40.932163000000003,-117.234238000000005,NV
Humboldt River,40.964796999999997,-117.276257000000001,NV
Humboldt WMA,40.005322000000000,-118.620108000000002,NV
Kirch WMA,38.367758000000002,-115.115858000000003,NV
