.
Lower Klamath NWR
Tule Lake NWR
Modoc NWR
Honey Lake
Fairchild Swamp
Adams Lake
Alamosa NWR
Blanca Wetlands
Brush Hollow Reservoir
Cheney Reservoir
Cherry Creek State Park
Cotton Lake
Eleven Mile State Park
Fruitgrowers Reservoir
Hebron Slough
Hinman Reservoir
John Martin Reservoir
Lake DeWeese
Lower Latham Reservoir
Monte Vista NWR
Mud Lake CO
Neeskah Reservoir
Russell Lakes SWA
San Luis Lake SWA
Walden Reservoir
Pikes Stockade
La Sauses
American Falls Reservoir
Bear Lake NWR
Blackfoot Reservoir
Camas NWR
Chester Hill Reservoir
Duck Valley
Fort Boise WMA
Grays Lake NWR
Hawkins Reservoir
Market Lake WMA
Mud Lake WMA
Oxford Slough WPA
Sterling WMA
Benton Lake NWR
Bowdoin NWR
Browns Lake
Canyon Ferry WMA
Cottonwood Reservoir
Dailey Lake
Freezeout Lake
Grass Lake NWR
Medicine Lake NWR
Kicking Horse Reservoir
Kleinschmidt Lake
Lake Helena WMA
Lee Metcalf NWR
Manning Lake
Nelson Reservoir
Ninepipe NWR
Pablo NWR
Red Rock Lake NWR
Spidel WPA
Warm Springs WMA
Upper Carter Pond FAS
Wild Horse Reservoir
Willow Creek Reservoir
Homestead Lake
Alkali Lake WMA
Ash Meadows NWR
Canvasback Club
Carson Lake
Franklin Lake
Harmon Reservoir
Humboldt River
Humboldt WMA
Kirch WMA
Mason Valley WMA
Quinn River Lakes
Quinn River
Railroad Valley
Ruby Lake NWR
Rye Patch Reservoir
Spring Valley
Stillwater NWR
Swan Lake
Washoe Lake
Secret Soldier
Rock Creek
Retherford Lake
Nine-Mile Slough
Diamond Swamp
Anderson Lake
Summer Lake WMA
Sycan Marsh
Knox Pond
Silver Lake
Hart Lake
Red-S
Warbler Pond
Lake Abert
Ibis Pond
Faye Field
Twenty-mile Slough
Island Ranch
Sodhouse Bay
Schoolhouse Lake
Squarewell Slough
Wrights Pond
Lava Swamp
Greaser Reservoir
Silver Lake Lake Co
Chewaucan Marshes
Crump Lake
Goose Lake
Malheur Lake
Silvies River
Paulina Marsh
Smokey Lake
Bear River Bay
Bear River Club
Bear River MBR
Chesapeake Club
Cutler Marsh
Farmington Bay WMA
Fish Springs NWR
Harold Crane WMA
Harrison Duck Club
Knudsons Marsh
Layton Wetlands
Ogden Bay WMA
Ouray NWR
Reeder Overflow
South Corrine
South Willard Bay
Utah Lake
Public Shooting Grounds WMA
Ambler Spring
Bamforth Lake
Caldwell Lake
Carroll Lake
Cokeville Meadows NWR
Hutton Lake NWR
Old Eden Reservoir
Pilger Lake
