SiteName,Latitude,Longitude,Num of Nests,Num Breeding Birds,Actual Bird Count,Year,Month,County,State,Count Type,Incidental Obs?,Nesting,nestStat
Tule Lake NWR,41.92861111,-121.5069444,2308,4616,,2018,"",Siskiyou,CA,Pairs,No,Yes,0
Modoc NWR,41.45752778,-120.5219444,36,72,,1989,"",Modoc,CA,Pairs,No,Yes,0
Honey Lake,40.30222222,-120.3883333,50,100,,1997,"",Lassen,CA,Pairs,No,Yes,0
Fairchild Swamp,41.60933285,-120.8513553,13,26,,1997,"",Modoc,CA,Pairs,No,Yes,0
Blanca Wetlands,37.55643553,-105.6772562,,13,,2011,June,Alamosa,CO,Adults,No,,0
Brush Hollow Reservoir,38.46416154,-105.0514322,0,12,,2009,June,Fremont,CO,Adults,No,No,0
Cheney Reservoir,38.88643835,-108.3228171,0,2,,2010,July,Mesa,CO,Adults,No,No,0
Cotton Lake,37.71716937,-105.7094763,,4,,2011,May,Alamosa,CO,Adults,No,,0
Eleven Mile State Park,38.92835709,-105.5202629,61,151,,2015,May,Park,CO,Nests,Yes,Yes,0
Hebron Slough,40.54555,-106.360452,0,9,,2000,June,Jackson,CO,Adults,No,No,0
Hinman Reservoir,40.148591,-106.462619,0,3,,2000,July,Grand,CO,Adults,No,No,0
John Martin Reservoir,38.077624,-103.033243,0,4,,2009,July,Bent,CO,Adults,No,No,0
Lower Latham Reservoir,40.34333,-104.636539,2,4,,2010,July,Weld,CO,Adults,No,Yes,0
Mud Lake CO,38.329408,-102.731341,0,35,,2000,"",Kiowa,CO,Adults,No,No,0
Neeskah Reservoir,38.28444,-102.644716,0,2,,2002,"",Kiowa,CO,Adults,No,No,0
San Luis Lake SWA,37.685832,-105.716788,0,50,,2000,July,Alamosa,CO,Adults,No,No,0
Walden Reservoir,40.7339,-106.3046,,70,70,2015,July,Jackson,CO,Adults,Yes,Yes,0
Pikes Stockade,37.361241,-105.820492,,27,27,2010,June,Alamosa,CO,Adults,No,,0
Alamosa NWR,37.433478,-105.784454,,2,2,2011,May,Alamosa,CO,Adults,No,,0
Cherry Creek State Park,39.638378,-104.854793,,6,6,2010,July,Arapahoe,CO,Adults,No,,0
Russell Lakes SWA,37.940509,-106.13327,,3,3,2018,June,Saguache,CO,Adults,Yes,,0
Monte Vista NWR,37.482605,-106.060943,1,2,150,2014,"",Rio Grande,CO,All,Yes,Yes,0
American Falls Reservoir,43.02687,-112.6435812,15,30,,1995,"",Bingham,ID,Pairs,No,Yes,0
Bear Lake NWR,42.14883,-111.2950882,9577,19154,,2010,"",Bear Lake,ID,Nests,No,Yes,0
Blackfoot Reservoir,42.90993,-111.6204183,,20,20,1993,"",Caribou,ID,Adults,No,,0
Camas NWR,43.93804,-112.2643843,,142,142,2007,"",Jefferson,ID,Adults,No,,0
Chester Hill Reservoir,42.69563,-111.6138013,,8,8,1993,"",Caribou,ID,Adults,Yes,,0
Fort Boise WMA,43.817288,-117.00133,,2,2,2007,"",Canyon,ID,Adults,No,,0
Grays Lake NWR,43.00889,-111.426543,6037,12074,,2010,"",Bonneville,ID,Nests,No,Yes,0
Hawkins Reservoir,42.51312,-112.337431,,9,,1993,"",Bannock,ID,Adults,Yes,,0
Sterling WMA,42.976963,-112.782963,,26,26,2007,August,Bingham,ID,"",No,,0
Bowdoin NWR,48.373459,-107.679346,,155,155,2018,"",Phillips,MT,Adults,No,,0
Browns Lake,46.951106,-113.016845,,10,10,1995,"",Powell,MT,Adults,Yes,,0
Canyon Ferry WMA,46.35817,-111.52088,,18,18,2000,"",Broadwater,MT,Adults,Yes,,0
Cottonwood Reservoir,46.0384,-110.69073,,1,1,1995,"",Park,MT,Adults,Yes,,0
Dailey Lake,45.26296,-110.81626,,7,7,2006,"",Park,MT,Adults,Yes,,0
Freezeout Lake,47.66257,-112.04601,,2,2,2008,"",Teton,MT,Adults,Yes,,0
Grass Lake NWR,45.8974,-109.1,,1,1,1991,"",Stillwater,MT,Adults,Yes,,0
Medicine Lake NWR,48.37848,-104.57767,7,14,14,2014,"",Roosevelt,MT,Nests,No,Yes,0
