SiteName,Latitude,Longitude,Num of Nests,Num Breeding Birds,Actual Bird Count,Year,Month,County,State,Count Type,Incidental Obs?,Nesting,nestStat
Ash Meadows NWR,36.398904,-116.334241,,32,,2010,"",Nye,NV,Pairs,No,,0
La Sauses,37.236399,-105.751664,,86,86,2011,May,Conejos,CO,Adults,No,,0
Pikes Stockade,37.361241,-105.820492,,27,27,2010,June,Alamosa,CO,Adults,No,,0
Adams Lake,37.405982,-105.850267,1000,2000,,2000,August,Alamosa,CO,,No,Yes,3
Alamosa NWR,37.433478,-105.784454,200,524,,2003,May,Alamosa,CO,Adults,No,Yes,3
Monte Vista NWR,37.482605,-106.060943,,600,,2010,"",Rio Grande,CO,Adults,No,Yes,5
Blanca Wetlands,37.55643553,-105.6772562,,13,,2011,June,Alamosa,CO,Adults,No,,0
San Luis Lake SWA,37.685832,-105.716788,0,50,,2000,July,Alamosa,CO,Adults,No,No,0
Cotton Lake,37.71716937,-105.7094763,,200,,2003,July,Alamosa,CO,Adults,No,,0
Russell Lakes SWA,37.940509,-106.13327,83,166,97,2005,June,Saguache,CO,Nests,No,Yes,4
John Martin Reservoir,38.077624,-103.033243,0,4,,2009,July,Bent,CO,Adults,No,No,0
Lake DeWeese,38.19969733,-105.4708599,0,1,,2009,July,Custer,CO,Adults,No,No,0
Neeskah Reservoir,38.28444,-102.644716,0,2,,2002,"",Kiowa,CO,Adults,No,No,0
Mud Lake CO,38.329408,-102.731341,0,35,,2000,"",Kiowa,CO,Adults,No,No,0
Kirch WMA,38.367758,-115.115858,,17,17,2010,"",Nye,NV,Adults,No,,0
Brush Hollow Reservoir,38.46416154,-105.0514322,0,12,,2009,June,Fremont,CO,Adults,No,No,0
Railroad Valley,38.5391,-115.7356,13,26,,2010,"",Nye,NV,Pairs,No,Yes,5
Fruitgrowers Reservoir,38.828625,-107.951898,0,7,,2009,June,Delta,CO,Adults,No,No,0
Cheney Reservoir,38.88643835,-108.3228171,0,2,,2010,July,Mesa,CO,Adults,No,No,0
Eleven Mile State Park,38.92835709,-105.5202629,61,151,,2015,May,Park,CO,Nests,Yes,Yes,6
Alkali Lake WMA,38.929515,-119.370921,10,20,,1987,"",Lyon,NV,Pairs,No,Yes,1
Mason Valley WMA,39.090337,-119.097122,0,0,,1985,"",Lyon,NV,Pairs,No,No,0
Washoe Lake,39.281239,-119.793005,2,4,,1995,"",Washoe,NV,Pairs,No,Yes,2
Carson Lake,39.310493,-118.73423,1920,3840,,2011,"",Churchill,NV,Pairs,No,Yes,5
Spring Valley,39.45577,-114.495398,40,80,,2010,"",White Pine,NV,Pairs,No,Yes,5
Harmon Reservoir,39.46611,-118.643904,10,20,,1994,"",Churchill,NV,Pairs,No,Yes,1
Canvasback Club,39.581536,-118.522129,25,50,,2009,"",Churchill,NV,Pairs,No,Yes,4
Stillwater NWR,39.625869,-118.519698,1500,3000,,2011,"",Churchill,NV,Nests,No,Yes,5
Cherry Creek State Park,39.638378,-104.854793,0,2,,2009,July,Arapahoe,CO,Adults,No,No,0
Swan Lake,39.653888,-119.840469,45,90,90,2011,"",Washoe,NV,Adults,No,Yes,5
Fish Springs NWR,39.852173,-113.373091,35,70,,2009,"",Juab,UT,Nests,No,Yes,4
Humboldt WMA,40.005322,-118.620108,418,836,,2010,"","",NV,Pairs,No,Yes,5
Utah Lake,40.031378,-111.888607,257,514,515,2009,"",Utah,UT,Adults,No,Yes,4
Hinman Reservoir,40.148591,-106.462619,0,3,,2000,July,Grand,CO,Adults,No,No,0
Ouray NWR,40.15894,-109.588484,20,40,,1995,"",Uintah,UT,Pairs,No,Yes,2
Ruby Lake NWR,40.197491,-115.479245,57,114,,2011,"",Elko,NV,Adults,No,Yes,5
Honey Lake,40.30222222,-120.3883333,50,100,,1995,"",Lassen,CA,Pairs,No,Yes,2
Lower Latham Reservoir,40.34333,-104.636539,2,4,,2010,July,Weld,CO,Adults,No,Yes,5
Franklin Lake,40.348441,-115.415327,200,400,,2010,"",Elko,NV,Pairs,No,Yes,5
Hebron Slough,40.54555,-106.360452,0,9,,2000,June,Jackson,CO,Adults,No,No,0
Rye Patch Reservoir,40.570604,-118.304659,252,504,,1995,"",Pershing,NV,Pairs,No,Yes,2
Red Lion Ponds,40.606801,-102.681321,0,9,,2009,"",Logan,CO,Adults,No,No,0
Walden Reservoir,40.7339,-106.3046,,70,70,2015,July,Jackson,CO,Adults,Yes,Yes,6
Harrison Duck Club,40.83333333,-112.0416667,344,688,,1985,"",Salt Lake,UT,Pairs,No,Yes,1
Farmington Bay WMA,40.882656,-112.013221,2991,5982,,2009,"",Davis,UT,Adults,No,Yes,4
Secret Soldier,40.902366,-115.364126,350,700,,2010,"",Elko,NV,Pairs,No,Yes,5
Humboldt River,40.932163,-117.234238,20,40,,2010,"",Humboldt,NV,Pairs,No,Yes,5
Humboldt River,40.964797,-117.276257,20,40,,2010,"",Humboldt,NV,Pairs,No,Yes,5
Humboldt River,41.01603,-117.705233,30,60,,2010,"",Humboldt,NV,Pairs,No,Yes,5
Layton Wetlands,41.027648,-112.027775,2250,4500,,2000,"",Davis,UT,Pairs,No,Yes,3
Humboldt River,41.029175,-117.648049,20,40,,2010,"",Humboldt,NV,Pairs,No,Yes,5
Caldwell Lake,41.154981,-105.793461,35,70,,2001,"",Albany,WY,Pairs,No,Yes,3
Ogden Bay WMA,41.178333,-112.195,2387,4774,,2009,"",Weber,UT,Pairs,No,Yes,4
Hutton Lake NWR,41.178731,-105.725694,35,70,,2005,"",Albany,WY,Nests,No,Yes,4
Rock Creek,41.198266,-116.704147,40,80,,2010,"",Elko,NV,Pairs,No,Yes,5
South Willard Bay,41.322778,-112.159167,887,1775,,2009,"",Box Elder,UT,Pairs,No,Yes,4
Harold Crane WMA,41.345571,-112.16475,238,476,,1993,"",Box Elder,UT,Nests,No,Yes,1
Pilger Lake,41.375172,-105.830834,8,16,,2006,"",Albany,WY,Pairs,No,Yes,4
Bamforth Lake,41.389994,-105.738911,10,20,20,1988,"",Albany,WY,Juveniles,No,Yes,1
Bear River Bay,41.395918,-112.230713,940,1880,1880,1999,"",Box Elder,UT,Pairs,No,Yes,2
Carroll Lake,41.413979,-105.717884,1,2,,1987,"",Albany,WY,Pairs,No,Yes,1
Reeder Overflow,41.437437,-112.094946,1100,2200,,1988,"",Box Elder,UT,Pairs,No,Yes,1
Quinn River,41.448792,-117.500499,15,30,,2010,"",Humboldt,NV,Pairs,No,Yes,5
Modoc NWR,41.45752778,-120.5219444,36,72,,1989,"",Modoc,CA,Pairs,No,Yes,1
Quinn River,41.484609,-117.507758,30,60,,2010,"",Humboldt,NV,Pairs,No,Yes,5
Chesapeake Club,41.485191,-112.17089,2600,5200,,1988,"",Box Elder,UT,Nests,No,Yes,1
Bear River MBR,41.485882,-112.327199,10775,21550,,2009,"",Box Elder,UT,Pairs,No,Yes,4
Knudsons Marsh,41.48595,-112.097674,0,0,,1985,"",Box Elder,UT,Pairs,No,No,0
Bear River MBR,41.487828,-112.321693,3391,6783,6783,2008,"",Box Elder,UT,Pairs,No,Yes,4
Bear River Club,41.499041,-112.231805,3000,6000,,1995,"",Box Elder,UT,Nests,No,Yes,2
Quinn River Lakes,41.512808,-118.152006,17,34,,1996,"","",NV,Pairs,No,Yes,2
South Corrine,41.527068,-112.120066,1,2,,1987,"",Box Elder,UT,,No,Yes,1
Public Shooting Grounds WMA,41.579441,-112.316794,,9,9,2009,June,Box Elder,UT,Adults,No,Yes,4
Fairchild Swamp,41.60933285,-120.8513553,13,26,,1997,"",Modoc,CA,Pairs,No,Yes,2
Cutler Marsh,41.758283,-111.939667,4047,8094,8094,2006,"",Cache,UT,Pairs,No,Yes,4
