state,month,T1,T2,change,p.value
CA,Mar,21650.6713659207,15875.4510395414,-0.266745553926322,0.0000154079123083585
CO,Mar,18444.7067587217,12842.8225131512,-0.303712296370428,0.00000356015506335083
ID,Mar,18261.6412508414,18350.6151658064,0.00487217516448545,0.708971519625106
MT,Mar,20903.5404044661,17175.8301521362,-0.178329133735327,0.0000825126357436603
NV,Mar,51408.4448884387,30654.964944775,-0.403697874711065,0.0000122437109376577
OR,Mar,83083.8482578947,48554.0581977712,-0.415601717832593,0.00000000342817049913417
UT,Mar,143464.919906745,134654.789327979,-0.0614096504183258,0.000174079069775534
WY,Mar,8785.92158188416,6080.73891531761,-0.307899705381438,0.00000207575723722574
CA,Apr,19776.606203062,16741.4761701523,-0.153470722010928,0.0371033258558935
CO,Apr,20446.6411531742,11454.5415829133,-0.439783703489359,0.00000000685634099826834
ID,Apr,35592.644154288,34313.9195101115,-0.0359266549187362,0.845068164070972
MT,Apr,26514.3550205404,26209.9059482581,-0.0114824242206323,0.76259226460238
NV,Apr,58029.73408227,28182.3173112482,-0.514346950628906,0.000779499122178377
OR,Apr,86091.078974995,58105.6218679451,-0.325068026098014,0.000569669376352622
UT,Apr,135613.577941324,122086.941656614,-0.0997439673080697,0.00122419282889981
WY,Apr,7456.46758039211,6660.94910177356,-0.106688384284065,0.292198722370563
CA,May,18971.4191178868,16295.9248875707,-0.14102762759553,0.0229059485451663
CO,May,21577.1505373443,15671.0789025381,-0.273718794545387,0.00000156838800335388
ID,May,39539.846767913,36588.6944796926,-0.0746374234969281,0.0805438494246043
MT,May,28852.5722764261,27496.3114842788,-0.0470065815676154,0.203901314592828
NV,May,50619.2593195229,33317.5087563691,-0.341801733090172,0.0531138179773964
OR,May,97952.9653989428,70010.9058626057,-0.285259965561376,0.00608087340459694
UT,May,136033.631147263,115377.303693596,-0.15184721071884,0.000000166266269208007
WY,May,9285.43323451492,9075.727139122,-0.0225844169137336,0.98582866821464
CA,Jun,16551.3287792433,13981.6215058685,-0.155256856271104,0.0229059485451663
CO,Jun,29493.3903398654,20409.0438182697,-0.308012962121775,0.000000639353798088522
ID,Jun,36959.1114898951,33548.1714458274,-0.0922895574748945,0.0371033258558935
MT,Jun,29018.5787248897,26644.4676552033,-0.0818134854981732,0.0077210027319862
NV,Jun,54404.6673980406,32813.0433491207,-0.396870803215269,0.0805438494246043
OR,Jun,85263.9907038815,64291.4014414351,-0.245972409798216,0.00323558787908956
UT,Jun,131146.018479043,104255.551877686,-0.205042188190058,0.00000273053780256037
WY,Jun,13168.2367209111,12239.5391556167,-0.0705255825041213,0.292198722370563
CA,Jul,13211.2680165233,10047.4418631469,-0.239479370899096,0.00418947289230314
CO,Jul,20315.0905133157,14788.1938530692,-0.272058677593578,0.0000678674913713591
ID,Jul,26441.0759705438,25152.9508210944,-0.0487168204079322,0.422758780613809
MT,Jul,26886.4927589984,23690.7552532785,-0.118860333862264,0.0000999688799252515
NV,Jul,48480.6850291894,29945.336611404,-0.382324391799036,0.0871790202890358
OR,Jul,70137.6463655328,41422.0989474243,-0.409417037869408,0.00000000171408524956708
UT,Jul,111702.557326768,71342.8517557632,-0.361314069586958,0.00000000171408524956708
WY,Jul,6028.10883072189,5779.49459390835,-0.0412424930927744,0.606048247505957
CA,Aug,10958.3313246177,8485.75552994203,-0.22563433441012,0.0077210027319862
CO,Aug,20405.3890687895,11716.9999347523,-0.425788947456351,0.00000000171408524956708
ID,Aug,24012.2861215626,20178.3924961426,-0.15966383234028,0.0000999688799252515
MT,Aug,26919.4349508813,22302.8683409588,-0.171495672860376,0.000000114843711720995
NV,Aug,43355.1268394187,30944.1446189494,-0.286263312443713,0.0406740893928539
OR,Aug,59350.0923650338,38574.361099669,-0.3500538994545,0.00000760539625232915
UT,Aug,107540.357646764,66170.1929159104,-0.384694319752418,0.00000000171408524956708
WY,Aug,5602.26355741058,4526.43578399999,-0.192034480774741,0.000208072808444948
CA,Sept,8820.33769672388,6749.31960397147,-0.234800317625213,0.00418947289230314
CO,Sept,16828.768217135,9517.96638644253,-0.434422872569402,0.00000000171408524956708
ID,Sept,19014.692981048,17727.0570333552,-0.0677179457473319,0.217126918696677
MT,Sept,25815.1622634324,21839.1056534364,-0.15402020601002,0.000000238257849689825
NV,Sept,38827.3581205595,27422.7601125088,-0.293725830447676,0.14627292860061
OR,Sept,50043.3147929471,28220.1501679896,-0.436085513424727,0.00000117243431070389
UT,Sept,113432.601683221,77910.2234939812,-0.31315845411394,0.0000000325676197417746
WY,Sept,4283.57657857784,3590.615198515,-0.161771680125515,0.018679509690371
CA,Oct,9390.80219077665,6641.52889786644,-0.292762347354144,0.0000999688799252515
CO,Oct,13348.7620036956,9274.18803066292,-0.305239839612439,0.000000020569022994805
ID,Oct,16079.5746811828,16094.1107482077,0.000904008178894137,0.872978811309476
MT,Oct,23326.2917128526,21147.4665051265,-0.0934064117240556,0.00122419282889981
NV,Oct,31242.7451642094,30734.3801661094,-0.0162714574352557,0.708971519625106
OR,Oct,46893.7104263243,25984.4283011958,-0.445886707087925,0.000036881972314935
UT,Oct,124927.116518006,100967.306747562,-0.191790304925439,0.00000117243431070389
WY,Oct,4087.64160937056,3948.55474747774,-0.0340261880038536,0.631172590892391
