state,ownAg,T1,T2,Change,perDif,p.value
CA,Private,4239.86079108945,3516.04505318386,-723.815737905594,-0.170716863965622,0.0053812026606614
CO,Private,13176.8924973569,9494.84107796583,-3682.05141939102,-0.279432454968393,0.00000156838800335388
ID,Private,10847.7455352837,9884.68776464628,-963.057770637452,-0.0887795318856788,0.0486639858201955
MT,Private,8759.6492240525,7698.52356749135,-1061.12565656115,-0.121137916532945,0.0010557890953856
NV,Private,14530.5523595592,9641.53974745842,-4889.01261210074,-0.336464333297311,0.0445226890079167
OR,Private,28928.7406640717,21882.1838291227,-7046.55683494894,-0.243583255723969,0.0229059485451663
UT,Private,24185.2777485222,17744.2442711749,-6441.03347734729,-0.266320426183275,0.000036881972314935
WY,Private,5815.2016935305,5503.91291445384,-311.288779076666,-0.0535301775384643,0.631172590892391
CA,Public,11653.9298971772,9594.39893815223,-2059.53095902492,-0.176724158905725,0.0108956188846634
CO,Public,9270.63982514098,5313.13054034269,-3957.50928479829,-0.426886316310763,0.00000000171408524956708
ID,Public,21661.2473655568,20071.7379859274,-1589.50937962936,-0.0733803253711425,0.156700804474201
MT,Public,18878.6375222947,17570.3381689042,-1308.29935339053,-0.0693005176801291,0.00163427401217674
NV,Public,36447.3421741292,21398.9303819598,-15048.4117921693,-0.412880909677164,0.0135868612828775
OR,Public,50830.0722292479,32598.297827837,-18231.7744014108,-0.358680867483013,0.00000000342817049913417
UT,Public,100221.95075971,78102.3241087391,-22119.6266509712,-0.220706406962729,0.00000000171408524956708
WY,Public,2492.90029125963,2152.51624043029,-340.384050829339,-0.136541381948874,0.0168271594682328
